20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_hkdoor.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_iamtheking.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_icefog.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_indetectables_rat.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_industroyer.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_inocnation.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_irongate.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_irontiger.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_irontiger_trendmicro.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_ism_rat.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_kaspersky_duqu2.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_ke3chang.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_keyboys.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_keylogger_cn.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_khrat.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_korplug_fast.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_kwampirs.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_laudanum_webshells.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_applejeus.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_aug20.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_dec17.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_dec20.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_gopuram.yar
